ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_340,0,Участник мероприятия,Информационная безопасность; ,Шлифовшик,,08.2012,Федеральное Государственное Унитарное Предприятие «Комбинат «Электрохимприбор»,,1994-09-28,,,,,,0.0,0.0,0,37.836901997242606,,
ФИО_525,0,Участник мероприятия,Управление качеством; ,Арматурщика 5р,,2008-07-01,"""Филиал АО """"АЭМ-технологии"""" """"Петрозаводскмаш"""" в г. Петрозаводск""",,1974-06-13,-,,,,,0.0,,0,,,
ФИО_665,0,Участник мероприятия,Охрана труда; ,Младший специалист WS,,2014-07-23,"""ФГУП """"Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И. Забабахина""""""",,2002-01-11,,,,,,0.0,,0,,,
ФИО_437,1,Участник мероприятия,Работы на токарных универсальных станках; ,Студент,,2005-09-29,"""АО """"ЕВРАЗ ОБЪЕДИНЕНЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",нет в предлагаемом списке,1990-04-04,,,,,,54.51255368473532,0.10716918795693736,0,25.744265439151945,1.3958588195379222,
ФИО_477,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер 1 категории,,04.2002,"ФГБОУ ВО ""Алтайский государственный университет""",,1981-08-13,2012-01-11,Высшее,ФГБОУ ВО «Российский экономический университет им. Г.В. Плеханова»,2006,,8.852878694460193,,0,,,
ФИО_281,0,Участник мероприятия,Работы на токарных универсальных станках; ,Главный специалист по ОТ,,ноя.04,Федеральное государственное унитарное предприятие «производственное объединение «Маяк»,,1997-06-04,2016,,,,,63.364661232018264,0.19370109482294856,0,23.714714839887023,,
ФИО_85,0,Участник мероприятия,Промышленная механика и монтаж; ,,,июл.08,"""ФГУП """"Приборостроительный завод""""""",,1993-08-11,,,,,,6.371367759034104,,0,,,
ФИО_239,0,Участник мероприятия,Неразрушающий контроль; ,Лаборант радиохимического анализа,Инженер,ноя.04,"""""""Лениградска атомная станция"""" (Лениградская АЭС)""",,04.03.80,2015-04-06,,,,,24.90848689231604,0.18125251444294257,1,27.310632183142133,,
ФИО_240,0,Участник мероприятия,Радиационный контроль; ,Инженер-технолог 2 категории,,2004-10-01,ФГУП ПО Маяк,,11.05.1996,,,,,,11.074783031928591,,0,,,
ФИО_0,0,Участник мероприятия,Технологии композитов; ,,,,Цифровые платформы и решения для умного города,,,,,,,,19.380457617175583,,0,,,
